folio,ordenvehiculo,tipovehiculo,ordenconductor,marcavehiculo,anovehiculo,combustiblevehiculo,situacionvehiculo,vehiculotrabajo,factorexpansiona
11451,1,Camioneta o vehiculo todo terreno,1,Suzuki,2017,Diesel,Propia (del hogar),No,"10,5"
11452,1,Camioneta o vehiculo todo terreno,2,Mazda,2015,Diesel,Propia (del hogar),No,"10,5"
11452,2,Auto,3,Mazda,2011,Gasolina,Propia (del hogar),No,"10,5"
11461,1,Camioneta o vehiculo todo terreno,2,Toyota,2001,Diesel,Propia (del hogar),No,"10,5"
11461,2,Auto,3,Suzuki,2006,Gasolina,Propia (del hogar),No,"10,5"
11462,1,Camioneta o vehiculo todo terreno,4,Nissan,2019,Gasolina,Propia (del hogar),Si,"10,5"
11462,2,Camioneta o vehiculo todo terreno,1,Toyota,2020,Gasolina,Propia (del hogar),No,"10,5"
11462,3,Camioneta o vehiculo todo terreno,2,Mazda,2017,Diesel,Propia (del hogar),No,"10,5"
11471,1,Auto,1,Mitsubishi,2008,Gasolina,Propia (del hogar),No,"12,977"
11472,1,Camioneta o vehiculo todo terreno,2,Izuzu,1995,Diesel,Propia (del hogar),No,"12,977"
11481,1,Camioneta o vehiculo todo terreno,3,Kia,2018,Diesel,Propia (del hogar),Si,"12,977"
11482,1,Auto,3,Mazda,2008,Gasolina,Propia (del hogar),Si,"12,977"
11492,1,Auto,1,Jeep,2010,Diesel,Propia (del hogar),Si,"12,977"
11501,1,Auto,2,Renault,2014,Gasolina,Propia (del hogar),No,"12,977"
11502,1,Camioneta o vehiculo todo terreno,1,Dodge,2007,Gasolina,Propia (del hogar),No,"12,977"
11502,2,Auto,1,Peugeot,2016,Gasolina,Propia (del hogar),No,"12,977"
11511,1,Auto,1,Mazda,2010,Gasolina,Prestada,No,"12,977"
11521,1,Auto,2,Hyundai,2010,Gasolina,Propia (del hogar),No,"16,35"
11522,1,Auto,1,Toyota,2018,Gasolina,Propia (del hogar),No,"16,35"
11551,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),No,"10,476"
11552,1,Auto,1,Suzuki,2016,Gasolina,Propia (del hogar),No,"10,476"
11581,1,Auto,1,Chevrolet,2020,Gasolina,Propia (del hogar),Si,"10,5"
11591,1,Camioneta o vehiculo todo terreno,1,Mazda,2018,Gasolina,Propia (del hogar),No,"12,977"
11591,2,Camioneta o vehiculo todo terreno,1,Chevrolet,1996,Gasolina,Propia (del hogar),No,"12,977"
11592,1,Camioneta o vehiculo todo terreno,2,Mazda,2014,Diesel,Propia (del hogar),No,"12,977"
11611,1,Camioneta o vehiculo todo terreno,3,Hyundai,2018,Gasolina,Propia (del hogar),No,"12,977"
11631,1,Auto,1,Mazda,2019,Diesel,Propia (del hogar),No,"10,5"
11651,1,Auto,1,Hyundai,2015,Diesel,Propia (del hogar),No,"16,35"
11651,2,Auto,2,Kia,2018,Gasolina,Propia (del hogar),No,"16,35"
11661,1,Camioneta o vehiculo todo terreno,2,Nissan,1992,Diesel,Propia (del hogar),No,"12,977"
11681,1,Auto,2,Chevrolet,1980,Gasolina,Propia (del hogar),No,"12,977"
11682,1,Auto,1,Fiat,2008,Gasolina,Propia (del hogar),No,"12,977"
11682,2,Camion,1,Hyundai,2002,Gasolina,Propia (del hogar),No,"12,977"
11691,1,Camioneta o vehiculo todo terreno,1,Wingle,2005,Diesel,Propia (del hogar),No,"12,977"
11692,1,Auto,1,Toyota,2018,Gasolina,Propia (del hogar),Si,"12,977"
11692,2,Auto,2,Toyota,2022,Gasolina,Propia (del hogar),Si,"12,977"
11702,1,Camioneta o vehiculo todo terreno,1,Toyota,2017,Diesel,Propia (del hogar),No,"12,977"
11731,1,Auto,2,Chevrolet,2014,Gasolina,Propia (del hogar),No,"13,272"
11732,1,Auto,1,Kia,2010,Gasolina,Propia (del hogar),No,"13,272"
11741,1,Auto,1,Mazda,2010,Gasolina,Propia (del hogar),No,"13,272"
11762,1,Auto,1,Hyundai,2005,Diesel,Propia (del hogar),No,"13,272"
11781,1,Camioneta o vehiculo todo terreno,1,Dodge,2007,Gasolina,Propia (del hogar),No,"10,476"
11792,1,Camioneta o vehiculo todo terreno,2,Zna Rich,2014,Gasolina,Propia (del hogar),No,"13,272"
