Folio,ordenvehiculo,TipoVehiculo,OrdenConductor,MarcaVehiculo,ModeloVehiculo,AnoVehiculo,CombustibleVehiculo,SituacionVehiculo,VehiculoTrabajo,FactorExpansionA,codSituacionVehiculo,codTipoVehiculo,codVehiculoTrabajo
10991,1,1,1,RENAULT,SYMBOL ZEN,2017,1,1,2,"12,977",,,
11001,1,3,4,NISSAN,TERRANO,2003,2,1,2,"13,272",,,
11011,1,3,1,DODGE,RAM,2017,2,1,1,"13,272",,,
11011,2,1,2,RENAULT,CAPTOR,2019,1,1,2,"13,272",,,
11021,1,1,2,SUSUKI,SWIFT,2018,1,1,2,"13,272",,,
11022,1,1,2,MAZDA,DEMIO,2014,1,1,2,"13,272",,,
11031,1,4,1,FORD,EXPLORER,2003,1,1,2,"13,272",,,
11032,1,3,3,CHEVROLET,DMAX,2015,2,1,2,"13,272",,,
11042,1,3,1,NISSAN,D21,2005,1,1,1,"13,272",,,
11051,1,1,1,CHANGAN,CX70,2020,1,1,2,"13,272",,,
11052,1,1,1,WOFLWAGEN,BEETLE,2000,1,1,2,"13,272",,,
11062,1,1,1,HUYDAI,TUCSON,2008,1,1,2,"13,272",,,
11071,1,1,2,GREAT WALL,.,2003,1,1,2,"13,272",,,
11072,1,1,1,SUZUKI,BALENO,2001,1,1,2,"13,272",,,
11082,1,1,4,GELLY,CK,2014,1,1,2,"13,272",,,
11091,1,1,3,SUSUKI,SWIFT,2006,1,1,2,"13,272",,,
11112,1,3,1,MAXUS,T60,2020,2,1,2,"13,272",,,
11142,1,1,1,HYUNDAI,TUCSON,2005,2,1,2,"13,272",,,
11151,1,6,1,HYUNDAY,PORTER,2005,2,1,2,"13,272",,,
11152,1,3,1,MITSUBISHI,L200,2012,2,1,2,"13,272",,,
11161,1,1,3,GREAT WALL,HAVALL,2011,1,1,2,"13,272",,,
11162,1,4,1,HYUNDAY,STAREX,2012,2,1,2,"13,272",,,
11171,1,1,1,CHEVROLET,AVEO,2013,1,1,1,"13,272",,,
11172,1,1,1,VOLKSWAVEN,BOYAGE,2013,1,1,2,"13,272",,,
11181,1,1,1,CHERY,FULWIN,2013,1,1,2,"13,272",,,
11192,1,1,1,HIUNDAY,ACCENT,2013,1,1,2,"13,272",,,
11192,2,8,3,HIUNDAY,PORTER,1995,2,1,1,"13,272",,,
11201,1,1,5,GRET WEALL,M4,2017,1,1,1,"19,511",,,
11212,1,1,2,ZOTIE,HYNTER STATION,2013,1,1,2,"19,511",,,
11221,1,1,1,GELLY,CROSS,2013,1,1,2,"19,511",,,
11231,1,4,1,JAC,SUNRAY,2015,2,1,1,"19,511",,,
11231,2,1,2,TOYOTA,RAV,2014,1,1,2,"19,511",,,
11231,3,1,3,MAZDA,MPV,2006,3,1,2,"19,511",,,
11232,1,1,2,FORD,ECOSPORT,2019,1,1,2,"19,511",,,
11241,1,1,1,SUSUKI,SWIFT,2006,1,1,2,"19,511",,,
11241,2,1,2,SUSUKI,SWIFT,2008,1,1,2,"19,511",,,
11272,1,3,1,TOYOTA,RAV4,2014,1,1,2,"19,511",,,
11281,1,1,1,HUNDAI,ACCENT,2014,2,2,2,"19,511",,,
11292,1,1,1,FORD,.,2011,1,1,2,"19,511",,,
11301,1,3,2,HUNDAI,SANTA FE,2011,2,1,2,"19,511",,,
11302,1,1,5,MAZDA,DEMIO,2011,1,1,2,"19,511",,,
11302,2,1,5,HUNDAI,PORTER,2009,2,1,2,"19,511",,,
11302,3,1,5,RENAULT,SYMBOL,2015,1,1,2,"19,511",,,
11311,1,3,2,NISSAN,MISTRAL,1995,1,1,2,"19,511",,,
11312,1,1,1,CHEVROLET,OPTRA,2010,1,2,2,"19,511",,,
11321,1,3,1,HUNDAI,TUCSON,2007,2,1,2,"19,511",,,
11332,1,1,3,CHEVROLET,SONIC,2013,1,1,2,"13,272",,,
11351,1,3,1,NISSAN,SUV,2019,1,1,2,"10,5",,,
11351,2,1,4,CHEVROLET,SPARK,2012,1,1,2,"10,5",,,
11352,1,1,1,RENAULT,CAPTUR,2017,2,1,2,"10,5",,,
11352,2,3,1,GMC,VIGUS,2022,2,1,2,"10,5",,,
11352,3,3,2,CHEVROLET,CAPTIVA,2015,2,1,2,"10,5",,,
11362,1,1,1,HYUNDAI,ACCENT,2015,1,1,2,"11,122",,,
11362,2,1,2,MG,ZX,2022,1,1,2,"11,122",,,
11362,3,1,3,MITSUBUCHI,ECLIPSE,2021,1,1,2,"11,122",,,
11372,1,1,1,HYUNDAI,ACCENT,1993,1,1,2,"11,122",,,
11372,2,1,2,MITSUBUSCHI,PAJERO,1990,2,1,2,"11,122",,,
11382,1,1,1,NISSAN,XTRAIL,2018,1,1,2,"11,122",,,
11392,1,1,2,SUSUKI,ALTO,2018,1,1,2,"11,122",,,
11401,1,1,2,HYUNDAI,ACCENT,2015,1,1,2,"11,122",,,
11402,1,1,1,CHEVROLET,TRACKET,2018,1,1,2,"11,122",,,
11411,1,8,1,HYUNDAI,PORTER,1990,2,1,1,"11,122",,,
11432,1,1,2,DAEWOO,MATIZ,2003,1,1,2,"11,122",,,
11441,1,1,2,CHEVROLET,OPTRA,2012,1,1,2,"10,476",,,
11441,2,1,1,MAZDA,DEMIO,2011,1,1,2,"10,476",,,
11451,1,3,1,SUZUKI,GRAND VITARA,2017,2,1,2,"10,5",,,
11452,1,3,2,MAZDA,BT-50,2015,2,1,2,"10,5",,,
11452,2,1,3,MAZDA,DEMIO,2011,1,1,2,"10,5",,,
11461,1,3,2,TOYOTA,HILUX,2001,2,1,2,"10,5",,,
11461,2,1,3,SUSUKI,VITARA,2006,1,1,2,"10,5",,,
11462,1,3,4,NISSAN,QASHQAI,2019,1,1,1,"10,5",,,
11462,2,3,1,TOYOTA,RAV4,2020,1,1,2,"10,5",,,
11462,3,3,2,MAZDA,BT50,2017,2,1,2,"10,5",,,
11471,1,1,1,MITSUBISHI,LANCER,2008,1,1,2,"12,977",,,
11472,1,3,2,IZUZU,VIGO,1995,2,1,2,"12,977",,,
11481,1,3,3,KIA,SPORTAGE,2018,2,1,1,"12,977",,,
11482,1,1,3,MAZDA,0,2008,1,1,1,"12,977",,,
11492,1,1,1,JEEP,4X4,2010,2,1,1,"12,977",,,
11501,1,1,2,RENAULT,DUSTER,2014,1,1,2,"12,977",,,
11502,1,3,1,DODGE,DURANGO,2007,1,1,2,"12,977",,,
11502,2,1,1,PEUGEOT,PLUENSE,2016,1,1,2,"12,977",,,
11511,1,1,1,MAZDA,VT50,2010,1,2,2,"12,977",,,
11521,1,1,2,HYUNDAY,TUCSON,2010,1,1,2,"16,35",,,
11522,1,1,1,TOYOTA,RAV 4,2018,1,1,2,"16,35",,,
11551,1,1,1,CHEVROLET,AVEO,2010,1,1,2,"10,476",,,
11552,1,1,1,SUZUKI,SWIFT,2016,1,1,2,"10,476",,,
11581,1,1,1,CHEVROLET,SAIL,2020,1,1,1,"10,5",,,
11591,1,3,1,MAZDA,CX5,2018,1,1,2,"12,977",,,
11591,2,3,1,CHEVROLET,BLAZER 4.3,1996,1,1,2,"12,977",,,
11592,1,3,2,MAZDA,BT-50,2014,2,1,2,"12,977",,,
11611,1,3,3,HUNDAY,.,2018,1,1,2,"12,977",,,
11631,1,1,1,MAZDA,X5,2019,2,1,2,"10,5",,,
11651,1,1,1,HYUNDAY,STAREX,2015,2,1,2,"16,35",,,
11651,2,1,2,KIA,SPORTAGE,2018,1,1,2,"16,35",,,
11661,1,3,2,NISSAN,TERRANO,1992,2,1,2,"12,977",,,
11681,1,1,2,CHEVROLET,OPALA,1980,1,1,2,"12,977",,,
11682,1,1,1,FIAT,SIENA,2008,1,1,2,"12,977",,,
11682,2,8,1,HUNDAY,PORTER,2002,1,1,2,"12,977",,,
11691,1,3,1,WINGLE,5,2005,2,1,2,"12,977",,,
11692,1,1,1,TOYOTA,YARIS,2018,1,1,1,"12,977",,,
11692,2,1,2,TOYOTA,YARIS,2022,1,1,1,"12,977",,,
11702,1,3,1,TOYOTA,HILLUS,2017,2,1,2,"12,977",,,
11731,1,1,2,CHEVTOLET,SONIC,2014,1,1,2,"13,272",,,
11732,1,1,1,KIA,SPORTAGE,2010,1,1,2,"13,272",,,
11741,1,1,1,MAZDA,DEMION,2010,1,1,2,"13,272",,,
11762,1,1,1,HYUNDAI,SANTA FE,2005,2,1,2,"13,272",,,
11781,1,3,1,DODGE,DURANGO,2007,1,1,2,"10,476",,,
11792,1,3,2,ZNARICH,STATION,2014,1,1,2,"13,272",,,
11802,1,3,1,MAZDA,BT50,2013,2,1,1,"13,272",,,
11812,1,3,1,MAZDA,TRIBUTE,1999,1,1,2,"13,272",,,
11821,1,3,2,TIGGO,2,2022,1,1,2,"13,272",,,
11822,1,1,1,CHEVROLET,SPARK,2010,1,1,2,"13,272",,,
11831,1,1,2,CHEVROLET,SPARK,2010,1,1,2,"13,272",,,
11832,1,3,2,HAVAL,H6,2019,1,1,2,"13,272",,,
11841,1,1,1,JAC,S5,2016,1,1,2,"13,272",,,
11861,1,1,1,HYUNDAI,SANTA FE,2006,2,1,1,"13,272",,,
11862,1,6,1,CHANGAN,M201,2018,2,1,1,"13,272",,,
11881,1,1,2,SUZUKI,ALTO,2016,1,1,2,"13,272",,,
11882,1,1,1,CHEVROLET,OPTRA,2010,1,1,2,"13,272",,,
11892,1,3,1,KIA,SORRENTO,2004,2,1,2,"13,272",,,
11901,1,1,1,CHEVROLET,SAIL,2016,1,1,2,"13,272",,,
11901,2,3,2,CHEVROLET,CAPTIVA,2014,2,1,2,"13,272",,,
11902,1,1,2,FORD,FIESTA,2013,1,1,2,"13,272",,,
11921,1,1,1,PEUGOT,206,2003,1,1,2,"19,511",,,
11922,1,8,1,MITSUBISHI,PORTER,2002,2,1,1,"19,511",,,
11922,2,3,1,KIA,SPORTAGE,2012,2,1,1,"19,511",,,
11931,1,1,1,CHERRY,TIYGO,2017,1,1,2,"19,511",,,
11932,1,1,1,SUSUKI,SX4,2010,1,1,2,"19,511",,,
11941,1,1,2,HAVALL,H6,2020,1,1,2,"19,511",,,
11941,2,1,3,FORD,TERRITORI,2021,1,1,2,"19,511",,,
11941,3,3,1,FORD,F150,2021,1,1,2,"19,511",,,
11952,1,1,1,JAC,A13,2010,1,1,1,"19,511",,,
11971,1,1,2,CHRVROLET,GROOVE,2021,1,1,2,"19,511",,,
11972,1,3,2,CHEVROLET,CAPTIVA,2010,2,1,2,"19,511",,,
11981,1,1,1,VOLKSWAWEN,YETA,2013,1,1,2,"19,511",,,
11992,1,1,1,GREATWALL,C 30,2013,1,1,2,"19,511",,,
11992,2,1,2,KIA,SPORTAGE,2012,2,1,2,"19,511",,,
12001,1,1,3,VOLSWAGEN,BORA,2001,1,1,2,"19,511",,,
12001,2,3,1,MITSUBISCHI,CATALAN,2022,2,1,1,"19,511",,,
12002,1,3,2,NISAN,MURANO,2009,1,1,2,"19,511",,,
12011,1,1,2,HAVAL,H2,2017,1,1,2,"19,511",,,
12012,1,1,1,CHANGAN,S35,2018,1,1,2,"19,511",,,
12021,1,1,2,CHEVROLET,SONY,2015,1,1,2,"19,511",,,
12031,1,3,1,JAC,T8,2022,2,1,2,"19,511",,,
12032,1,1,1,KIA,MORNIG,2022,1,1,2,"19,511",,,
12041,1,1,2,MISTSUBISHI,PAJERO,2011,1,1,2,"13,272",,,
12042,1,3,1,CHEVROLET,COLORADO,1999,1,1,2,"13,272",,,
12052,1,1,1,HONDA,CIVIC,2004,1,1,2,"13,272",,,
12052,2,3,2,FIAT,ESTRADA,2008,1,1,1,"13,272",,,
12061,1,3,1,SUSUKI,VITARA,2006,1,1,2,"10,476",,,
12061,2,3,2,SUSUKI,GRAND NOMADE,2016,1,1,2,"10,476",,,
12062,1,1,2,TOYOTA,AUDI,2012,1,1,2,"10,476",,,
12071,1,3,1,NISSAN,TERRANO,1989,1,1,2,"10,476",,,
12072,1,1,2,CHEVROLET,SAIL,2017,2,1,1,"10,476",,,
12082,1,1,1,RENAULT,CLIO,2014,2,1,2,"10,5",,,
12082,2,3,2,GREAT WALL,WINGLE 5,2018,2,1,1,"10,5",,,
12092,1,3,1,MITSUBISHI,CATANA,2014,2,1,2,"11,122",,,
12112,1,3,1,SUZUKI,JIMMY,2020,1,1,2,"11,122",,,
12121,1,3,1,JEEP,COMPASS,2014,1,1,2,"11,122",,,
12122,1,1,1,FIAT,ARGO,2019,1,1,2,"11,122",,,
12141,1,3,1,SSANGYONG,REXTON,2014,2,1,2,"11,122",,,
12151,1,3,1,GRAT WALL,WINGLE,2021,2,1,2,"10,5",,,
